Complexity,Loss,Equation
1,115.37588,"29.076992"
3,96.03094,"x4 + 29.075825"
4,12.660934,"square(x4 + 5.290253)"
5,11.89658,"(x4 * 10.172521) + 29.076365"
7,11.1380415,"(x4 * (10.274143 - x2)) + 29.051273"
8,11.119372,"(x4 * (11.252948 - square(x2))) + 29.056482"
9,10.575115,"((x4 + 0.75042754) * (10.254918 - x2)) - -21.355703"
10,10.561831,"((11.234218 - square(x2)) * (x4 + 0.9408231)) - -19.427929"
11,10.410638,"(x1 + ((9.978789 - x2) * (x4 + 0.70058644))) - -22.060202"
12,10.069643,"(((x4 + 0.8618176) * (10.23984 - x2)) - -21.226412) - square(x19)"
13,10.0397,"((11.219045 - square(x2)) * (x4 + 1.0811373)) - (square(x19) + -19.00827)"
14,9.926848,"(x1 + (((9.963456 - x2) * (x4 + 0.81155926)) - -21.965298)) - square(x19)"
16,9.712665,"((((x4 + 1.1496272) * (13.925616 - x2)) + (x1 - -25.351746)) - square(x19)) * 0.71981925"
17,9.657646,"((x4 * 9.588795) + 29.0141) - ((square(x19) + (square(x4 + 0.6937352) / x2)) * 0.56732774)"
19,9.471243,"((x4 * 9.500691) + 28.980337) - (((square(x4 + 0.75067174) / x2) + (square(x19) - x18)) * 0.54102844)"
20,9.469485,"((x1 + 56.647) + ((x0 + (x4 * 18.649694)) - ((x18 + square(x4 + 0.8368621)) / x2))) * 0.5004724"
